a_proc_loc,a_code,a_country,a_fdiv,a_fdiv_code,a_county,a_city,a_district,p_postal_code,p_lat,p_lng,here_query_score,here_field_score,is_valid,a_lat,a_lng
los angelrs coahuila,MEX,México,Michoacán de Ocampo,Mich,,Puruándiro,Los Ángeles,,,,0.89,"{'district': 0.8, 'streets': [0.9]}",[],,
los anilos de,CHL,Chile,Los Ríos,LR,,,,,,,0.45,{'state': 0.71},[],,
los anos,MEX,México,Michoacán de Ocampo,Mich,,Morelia,Reforma,,,,1.0,{'streets': [0.64]},[],,
los argentinos amor,URY,Uruguay,,,,Maldonado,,,,,0.76,{'streets': [0.68]},[],,
los aroyos,ESP,España,Andalucía,AN,,Orcera,Los Arroyos,,,,0.99,{'streets': [0.9]},[],,
los belones tudmiria,ESP,España,Región de Murcia,MC,,Cartagena,Los Belones,,,,0.56,{'district': 1.0},[],,
los bilares,ESP,España,Andalucía,AN,,Aguilar de la Frontera,,,,,0.99,{'streets': [0.85]},[],,
los bosques nativos,CHL,Chile,Región Metropolitana de Santiago,RM,,Peñalolén,Peñalolén,,,,0.82,{'streets': [0.9]},[],,
los brazos de amada,ESP,España,Comunidad de Madrid,MD,,Galapagar,,,,,0.69,{'streets': [0.9]},[],,
los brazos de amo,ESP,España,Comunidad de Madrid,MD,,Galapagar,,,,,0.79,{'streets': [0.9]},[],,
los brazos de amor,ESP,España,Comunidad de Madrid,MD,,Galapagar,,,,,0.73,{'streets': [0.9]},[],,
los brazos de jared,MEX,México,Chihuahua,Chih,,Juárez,,,,,0.81,"{'city': 0.66, 'streets': [0.79]}",[],,
los brazos de rauwalejandro,MEX,México,Guerrero,Gro,,Chilpancingo de los Bravo,Alejandro Ortega,,,,0.38,{'district': 0.6},[],,
los brazos de win,ESP,España,Comunidad de Madrid,MD,,Galapagar,,,,,0.79,{'streets': [0.9]},[],,
los cabezas de pendejitos,ESP,España,Comunidad de Madrid,MD,,Villavieja del Lozoya,Las Cabezas,,,,0.36,{'district': 0.8},[],,
los cables,MEX,México,San Luis Potosí,SLP,,Ciudad Valles,Fracc La Pimienta,,,,1.0,{'streets': [1.0]},[],,
los caminos cruzan,ESP,España,Comunidad de Madrid,MD,,Pezuela de las Torres,Los Caminos,,,,0.63,{'district': 1.0},[],,
los caminos verdes,USA,Estados Unidos,California,CA,,Harbor City,Harbor City,,,,0.69,{'streets': [0.95]},[],,
los campos de castila,ESP,España,Castilla y León,CL,,Carrión de los Condes,,,,,0.99,"{'state': 0.54, 'streets': [0.9]}",[],,
los carabancheles,ESP,España,Comunidad de Madrid,MD,,Alcorcón,,,,,0.81,{'streets': [0.9]},[],,
los ceros,ESP,España,Comunidad de Madrid,MD,,Villamantilla,,,,,0.99,{'streets': [0.84]},[],,
los choapinos,ESP,España,Islas Canarias,CN,,Vallehermoso,Los Chapines,,,,0.75,{'streets': [0.82]},[],,
los confines,CHL,Chile,Arica y Parinacota,AP,,Arica,Arica,,,,1.0,{'streets': [0.9]},[],,
los confines de,CHL,Chile,Arica y Parinacota,AP,,Arica,Arica,,,,0.85,{'streets': [0.9]},[],,
los corazones madre aman,ESP,España,Comunidad de Madrid,MD,,Madrid,Puerta del Ángel,,,,0.79,"{'city': 0.64, 'streets': [0.6]}",[],,
los cristianos tenerife,ESP,España,Islas Canarias,CN,,Arona,Los Cristianos,,,,0.62,{'district': 1.0},[],,
los curiosos,ESP,España,Comunidad Valenciana,VC,,Elche,,,,,1.0,{'streets': [0.9]},[],,
los derechos reservados,CUB,Cuba,,,,Los Arabos,Reserva,,,,0.33,{'district': 0.95},[],,
los doritos,CHL,Chile,Región Metropolitana de Santiago,RM,,Maipú,Maipú,,,,0.9,{'streets': [0.9]},[],,
los extremos,CHL,Chile,Valparaíso,VS,,San Antonio,Llolleo,,,,1.0,{'streets': [0.9]},[],,
los galvanes,MEX,México,México,Edomex,,Ecatepec de Morelos,La Joya,,,,0.91,{'streets': [0.9]},[],,
los harales venezuela,ESP,España,Islas Canarias,CN,,Los Realejos,Longuera-Toscal,,,,0.87,"{'city': 0.68, 'streets': [0.9]}",[],,
los himalayas,CHL,Chile,Los Lagos,LL,,Puerto Varas,Puerto Varas,,,,1.0,{'streets': [1.0]},[],,
los hoyuelos de hobi,ESP,España,Castilla y León,CL,,Quintana y Congosto,Palacios de Jamuz,,,,0.76,{'streets': [0.9]},[],,
los huevos de vieja,ESP,España,Principado de Asturias,AS,,Oviedo,Casco Antiguo,,,,0.69,{'streets': [0.9]},[],,
los jardines de la uja,PER,Perú,Lima,,,San Juan de Miraflores,Los Jardines,,,,0.61,{'district': 1.0},[],,
los jardines del teror,PER,Perú,Lima,,,Puente Piedra,Los Jardines del Norte,,,,0.82,{'district': 0.82},[],,
los lanos venezolanos,MEX,México,Morelos,Mor,,Cuernavaca,Los Tulipanes,,,,0.81,"{'district': 0.46, 'streets': [0.56]}",[],,
los lejanos montes,MEX,México,Querétaro,Qro,,Cadereyta de Montes,Los Llanitos,,,,0.41,{'district': 0.59},[],,
los limoneros,ARG,Argentina,Buenos Aires,BA,,Mar del Plata,,,,,1.0,{'streets': [1.0]},[],,
los lindos,USA,Estados Unidos,California,CA,,Los Ángeles,,,,,0.67,{'streets': [0.86]},[],,
los los bits,CHL,Chile,Los Lagos,LL,,,,,,,0.55,{'state': 0.69},[],,
los lugares increibles,ESP,España,Andalucía,AN,,Pizarra,Los Lagares,,,,0.4,{'district': 0.8},[],,
los lugares quiero,ESP,España,Andalucía,AN,,Pizarra,Los Lagares,,,,0.5,{'district': 0.8},[],,
los mancs,ESP,España,Aragón,AR,,Ejea de los Caballeros,Bárdenas del Caudillo,,,,0.75,{'streets': [0.77]},[],,
los margenes,ESP,España,Comunidad Valenciana,VC,,Elche,La Marina de Elche,,,,1.0,{'streets': [0.9]},[],,
los mercados financieros,VEN,Venezuela,Zulia,ZU,,Colón,Los Mercados,,,,0.5,{'district': 1.0},[],,
los moles,ARG,Argentina,Neuquén,NQ,,Huinganco,,,,,1.0,{'streets': [1.0]},[],,
los montes azules,MEX,México,Chiapas,Chis,,Palenque,Montes Azules,,,,0.8,{'district': 1.0},[],,
los montes de maria,MEX,México,México,Edomex,,Ciudad López Mateos,Lomas de Monte María,,,,0.72,{'district': 0.67},[],,
los nadies,CHL,Chile,Aisén del Gral. C. Ibáñez del Campo,AI,,Cochrane,,,,,0.89,{'streets': [0.9]},[],,
los nahuales,MEX,México,Ciudad de México,CMX,,Xochimilco,Aztlán Los Apaches,,,,0.73,{'streets': [1.0]},[],,
los negocios,PER,Perú,Lima,,,Surquillo,Limatambo,,,,0.99,{'streets': [0.9]},[],,
los ninos del bario,MEX,México,Ciudad de México,CMX,,Xochimilco,Los Pinos,,,,0.38,{'district': 0.75},[],,
los ojos del lobo,ESP,España,Andalucía,AN,,Cuevas del Almanzora,Los Lobos,,,,0.36,{'district': 0.63},[],,
los patios norte,ARG,Argentina,Buenos Aires,BA,,Pinamar,,,,,0.93,{'streets': [1.0]},[],,
los pearl jam nirvana,USA,Estados Unidos,Oregón,OR,,Portland,Pearl,,,,0.67,"{'district': 1.0, 'placeName': 0.54}",[],,
los pies de kim namjon,FRA,Francia,Auvernia-Ródano-Alpes,ARA,,Celles-sur-Durolle,L'os de Pie,,,,0.33,{'district': 0.75},[],,
los pies de maki zenin,FRA,Francia,Auvernia-Ródano-Alpes,ARA,,Celles-sur-Durolle,L'os de Pie,,,,0.33,{'district': 0.75},[],,
los pies el marzo,ESP,España,Andalucía,AN,,Níjar,El Pozo de los Frailes,,,,0.71,"{'district': 0.28, 'streets': [0.9]}",[],,
los pies la esperanza,MEX,México,Guerrero,Gro,,Ayutla de los Libres,La Esperanza,,,,0.86,"{'city': 0.26, 'district': 1.0}",[],,
los pilares de la creacion,MEX,México,Querétaro,Qro,,Santiago de Querétaro,Los Pilares,,,,0.45,{'district': 1.0},[],,
los pinos presidente,ARG,Argentina,Misiones,MN,,Wanda,,,,,0.99,"{'streets': [1.0, 0.57]}",[],,
los polos hermanos albacete,ESP,España,Comunidad Valenciana,VC,,Valencia,Arrancapins,,,,0.79,"{'streets': [0.9], 'placeName': 0.95}",[],,
los ponys pastan,FRA,Francia,Provenza-Alpes-Costa Azul,PAC,,La Freissinouse,Les Pons,,,,0.36,{'district': 0.71},[],,
los porques,MEX,México,Ciudad de México,CMX,,Coyoacán,El Parque de Coyoacán,,,,0.8,{'streets': [0.8]},[],,
los postes,MEX,México,Ciudad de México,CMX,,Álvaro Obregón,,,,,1.0,{'streets': [1.0]},[],,
los ranchos de la ruta,HND,Honduras,,,,Santa Rita,Los Ranchos,,,,0.56,{'district': 1.0},[],,
los recuerdos de ela,MEX,México,Chiapas,Chis,,Tuxtla Gutiérrez,Colonial,,,,0.82,{'streets': [0.9]},[],,
los reinos galifrey,ESP,España,Principado de Asturias,AS,,San Martín del Rey Aurelio,Los Fornos,,,,0.38,{'district': 0.72},[],,
los rincones de casa,MEX,México,Nuevo León,NL,,San Pedro Garza García,Los Rincones,,,,0.65,{'district': 1.0},[],,
los rincones del imperio,MEX,México,Nuevo León,NL,,San Pedro Garza García,Los Rincones,,,,0.52,{'district': 1.0},[],,
los roques vzla,VEN,Venezuela,Zulia,ZU,,Maracaibo,Los Roques,,,,0.69,{'district': 1.0},[],,
los ruices sur cale milan,VEN,Venezuela,Bolivariano de Miranda,MI,,Caracas,Zona Industrial Los Ruices Sur,,,,0.81,"{'district': 0.46, 'streets': [0.9]}",[],,
los san pintados,ESP,España,Andalucía,AN,,Málaga,Los Pintados,,,,0.75,{'district': 0.95},[],,
los santos san andreas,MEX,México,Guanajuato,Gto,,Dolores Hidalgo,Fraccionamiento Todos Los Santos,,,,0.95,"{'district': 0.31, 'streets': [0.9]}",[],,
los sapos numero legan,ESP,España,Andalucía,AN,,Serón,Los Sapos,,,,0.42,{'district': 1.0},[],,
los seres,PER,Perú,Lima,,,Ate,Los Ceres,,,,0.75,{'district': 0.75},[],,
los sitios aterizo,PAN,Panamá,Veraguas,PA-9,,Guarumal,Los Sitios,,,,0.56,{'district': 1.0},[],,
los sotanos,ESP,España,Andalucía,AN,,Priego de Córdoba,,,,,0.8,{'streets': [0.78]},[],,
los suenos de los tiranos,SLV,El Salvador,,,,Nueva San Salvador,Residencial Los Sueños,,,,0.43,{'district': 0.75},[],,
los tacos de la esquina,ESP,España,Islas Canarias,CN,,San Cristóbal de La Laguna,Taco,,,,0.68,"{'district': 0.95, 'placeName': 1.0}",[],,
los techos,ESP,España,Castilla y León,CL,,Aguilar de Campoo,,,,,0.78,{'streets': [0.78]},[],,
los tejados de madrid,MEX,México,México,Edomex,,San Pablo de las Salinas,Unidad Habitacional Los Tejados,,,,0.56,{'district': 0.71},[],,
los teritorios,ARG,Argentina,Ciudad Autónoma de Buenos Aires,CF,,Ciudad de Buenos Aires,Villa del Parque,,,,0.99,{'streets': [0.93]},[],,
los terminales,USA,Estados Unidos,California,CA,,Los Ángeles,Downtown Los Angeles,,,,0.69,{'streets': [0.9]},[],,
los trancones de bog,ESP,España,Andalucía,AN,,Peal de Becerro,,,,,0.68,{'streets': [0.87]},[],,
los trapenses,CHL,Chile,Región Metropolitana de Santiago,RM,,Quilicura,Quilicura,,,,1.0,{'streets': [0.9]},[],,
los tuxtlas,MEX,México,México,Edomex,,Tlalnepantla de Baz,,,,,1.0,{'streets': [0.61]},[],,
los vales de aragua,CHL,Chile,Región Metropolitana de Santiago,RM,,Pudahuel,Ciudad de los Valles,,,,0.75,"{'district': 0.47, 'streets': [0.56]}",[],,
los verdes,ESP,España,Castilla y León,CL,,Villamayor,,,,,1.0,{'streets': [0.9]},[],,
lost causeway,IRL,Irlanda,,,,Tralee,Causeway,,,,0.67,{'district': 1.0},[],,
lost highway,USA,Estados Unidos,Vermont,VT,,Greensboro,,,,,1.0,{'streets': [1.0]},[],,
lost island truklefuz,USA,Estados Unidos,California,CA,,Newport Beach,Balboa Island,,,,0.37,{'district': 0.58},[],,
lost paradise,USA,Estados Unidos,Virginia,VA,,Stuart,,,,,0.99,{'streets': [0.9]},[],,
lost point,CAN,Canadá,Ontario,ON,,Parry Sound District,,,,,0.99,{'streets': [0.9]},[],,
lost wods,USA,Estados Unidos,Texas,TX,,San Antonio,,,,,0.99,{'streets': [0.89]},[],,
losted,FRA,Francia,Occitania,OCC,,Calmont,Loste,,,,0.83,{'district': 0.95},[],,
lostland,USA,Estados Unidos,Missouri,MO,,Galena,,,,,0.99,{'streets': [0.9]},[],,
lothric,USA,Estados Unidos,Tennessee,TN,,Murfreesboro,,,,,0.99,{'streets': [0.9]},[],,
louie,CAN,Canadá,Columbia Británica,BC,,West Kelowna,Westbank,,,,0.99,{'streets': [0.9]},[],,
louie votando,FRA,Francia,Auvernia-Ródano-Alpes,ARA,,Sainte-Foy-Tarentaise,La Louïe,,,,0.42,{'district': 0.71},[],,
louis,USA,Estados Unidos,Missouri,MO,,St Louis,,,,,0.99,{'city': 0.71},[],,
louis lauren,USA,Estados Unidos,Missouri,MO,,Ballwin,,,,,0.99,"{'county': 0.71, 'streets': [0.9]}",[],,
louis long hair,CAN,Canadá,Quebec,QC,,Longueuil,Lemoyne,,,,0.73,"{'city': 0.59, 'streets': [0.61]}",[],,
louis tomlinson,USA,Estados Unidos,Minnesota,MN,,Duluth,,,,,0.99,"{'county': 0.71, 'placeName': 0.64}",[],,
love train,USA,Estados Unidos,Arkansas,AR,,Franklin,,,,,0.89,{'streets': [0.89]},[],,
loves angy,USA,Estados Unidos,Arkansas,AR,,Theodosia,,,,,0.67,{'streets': [0.7]},[],,
lowkey,USA,Estados Unidos,Carolina del Sur,SC,,Aiken,,,,,0.83,{'streets': [0.9]},[],,
loxa orilas del zamora,ECU,Ecuador,Loja,,,Loja,,,,,0.79,{'streets': [0.79]},[],,
lpgc canarias,COL,Colombia,,,,Valdivia,Canarias,,,,0.67,{'district': 1.0},[],,
ls lightningmora,AUS,Australia,New South Wales,NSW,,Lightning Ridge,,,,,0.67,{'city': 0.71},[],,
luboca,SVK,Eslovaquia,Prešovský kraj,,,Ľubica,,,,,0.67,{'city': 0.67},[],,
lucanamarca,ITA,Italia,Campania,,,Atena Lucana,,,,,0.81,"{'city': 0.55, 'streets': [0.72]}",[],,
lucas norte argentina,MEX,México,Morelos,Mor,,Puente de Ixtla,Norte,,,,0.74,"{'district': 1.0, 'streets': [0.9]}",[],,
lucernario,ITA,Italia,Lacio,,,Pontecorvo,,,,,0.9,{'streets': [0.86]},[],,
lucha clandestina,BRA,Brasil,Santa Catarina,SC,,Florianópolis,Barra da Lagoa,,,,0.69,{'streets': [0.9]},[],,
luchado causas perdidas,MEX,México,Chiapas,Chis,,Tapachula,Islas Perdidas,,,,0.52,{'district': 0.79},[],,
luchando,ESP,España,Andalucía,AN,,Granada,Centro-Sagrario,,,,0.99,{'streets': [0.85]},[],,
lucia,LCA,Santa Lucía,,,,,,,,,0.99,{'country': 0.71},[],,
lueve,FRA,Francia,Países del Loira,PDL,,Saint-Nazaire,L'Ève,,,,0.8,{'district': 1.0},[],,
lugarcito,USA,Estados Unidos,Texas,TX,,El Paso,Bandolero-Tarascas,,,,0.99,{'streets': [0.9]},[],,
lugof strada comunale,CHE,Suiza,Tesino,TI,,Maggia,Someo,,,,0.74,{'streets': [1.0]},[],,
lui lei,FRA,Francia,Bretaña,BRE,,Rennes,,,,,0.5,{'city': 0.6},[],,
luis,BRA,Brasil,Maranhao,MA,,São Luís,,,,,0.99,{'city': 0.57},[],,
luis diaz,ESP,España,Islas Canarias,CN,,Arona,,,,,1.0,{'streets': [0.61]},[],,
luis meneses loyola,ARG,Argentina,San Luis,SL,,San Luis,,,,,0.59,"{'city': 0.57, 'streets': [0.44]}",[],,
luis pirata fuente,MEX,México,Veracruz de Ignacio de la Llave,Ver,,Úrsulo Galván,Deportiva,,,,0.75,{'streets': [0.9]},[],,
lujan cale de agua,MEX,México,Ciudad de México,CMX,,Iztacalco,INFONAVIT Iztacalco,,,,0.67,{'streets': [0.62]},[],,
lujanino,RUS,Rusia,Distrito Federal Central,,,Kimrskiy rayon,Lukanino,,,,0.75,{'streets': [0.75]},[],,
luna acuario,COL,Colombia,,,,Pereira,El Acuario,,,,0.59,{'district': 0.67},[],,
luna de plata,ESP,España,Castilla y León,CL,,Sena de Luna,,,,,0.99,"{'city': 0.4, 'streets': [0.72]}",[],,
luna lena,USA,Estados Unidos,Florida,FL,,Auburndale,Lena Vista,,,,0.99,"{'district': 0.44, 'streets': [0.9]}",[],,
luna sistema solar,ESP,España,Andalucía,AN,,Lucena,,,,,0.97,"{'city': 0.58, 'streets': [0.9]}",[],,
lunacia,FRA,Francia,Occitania,OCC,,Nimes,,,,,0.71,{'streets': [0.79]},[],,
lunakistan,GRC,Grecia,,,,,,,,,0.7,{'country': 0.7},[],,
lunes viernes,FRA,Francia,Occitania,OCC,,Lalbenque,Viernes,,,,0.58,{'district': 1.0},[],,
luselier,FRA,Francia,Normandia,NOR,,Bois-Guillaume,,,,,0.87,{'streets': [0.83]},[],,
lusitania iberia profunda,ITA,Italia,Calabria,,,Corigliano-Rossano,Frasso,,,,0.65,"{'streets': [0.9, 0.9]}",[],,
lusting land,GBR,Reino Unido,Inglaterra,,,Liversedge,Flush,,,,0.73,{'streets': [0.73]},[],,
luthadel imperio,PER,Perú,Callao,,,Bellavista,El Imperio,,,,0.6,{'district': 0.95},[],,
luvina,MEX,México,Veracruz de Ignacio de la Llave,Ver,,Veracruz,Los Faros,,,,1.0,{'streets': [0.9]},[],,
luxendarc,BEL,Bélgica,Valonia,WAL,,Seneffe,Petit-Roeulx-lez-Nivelles,,,,0.67,{'streets': [0.69]},[],,
lvspjimin rhtxkth,NGA,Nigeria,Jigawa,,,Gwaram,Jimin,,,,0.31,{'district': 0.95},[],,
lyon cartagena,ESP,España,Comunidad Valenciana,VC,,Callosa de Segura,Lo Cartagena,,,,0.84,{'district': 0.99},[],,
lyon guanajuato,MEX,México,Guanajuato,Gto,,León,,,,,0.71,{'streets': [0.9]},[],,
mac refugio,MEX,México,Durango,Dgo,,Gómez Palacio,Fraccionamiento El Refugio,,,,0.7,{'streets': [0.9]},[],,
macarao guanabano,PRI,Puerto Rico,Puerto Rico,PR,,Aguada,Guanábano,,,,0.56,{'district': 1.0},[],,
macaronesia,CPV,Cabo Verde,,,,Praia,,,,,0.99,{'streets': [0.9]},[],,
macbo estado zulia,USA,Estados Unidos,Carolina del Norte,NC,,Leland,Maco,,,,0.69,"{'country': 0.54, 'district': 0.99}",[],,
machala quevedo,ECU,Ecuador,Loja,,,Loja,,,,,1.0,"{'streets': [1.0, 1.0]}",[],,
machurucuto county,VEN,Venezuela,Bolivariano de Miranda,MI,,Pedro Gual,Machurucuto,,,,0.65,{'district': 1.0},[],,
maclaren pub,CAN,Canadá,Ontario,ON,,Ottawa,Centretown-Downtown,,,,0.73,{'streets': [0.9]},[],,
maclarens pub,GBR,Reino Unido,Inglaterra,,,Witham,Wickham Bishops,,,,0.75,{'streets': [1.0]},[],,
macondiano,ITA,Italia,Trentino-Alto Adigio,,,Borgo Chiese,Condino,,,,0.7,{'district': 0.95},[],,
macondo al de la cale,COL,Colombia,,,,Pedraza,Macondo,,,,0.41,{'district': 1.0},[],,
macondo carabanchel,MEX,México,Michoacán de Ocampo,Mich,,Heroica Zitácuaro,Carabanchel,,,,0.61,{'district': 1.0},[],,
macondo chilensis,ESP,España,Extremadura,EX,,Cáceres,Macondo,,,,0.44,{'district': 1.0},[],,
macondo chipchombia,COL,Colombia,,,,Pedraza,Macondo,,,,0.69,"{'country': 0.64, 'district': 1.0}",[],,
macondo de la usurpadora,COL,Colombia,,,,Pedraza,Macondo,,,,0.33,{'district': 1.0},[],,
macondo el platanal,PER,Perú,Madre de Dios,,,Tambopata,Puerto Maldonado,,,,0.88,"{'district': 0.33, 'streets': [0.9]}",[],,
macondo galar,ESP,España,Extremadura,EX,,Cáceres,Macondo,,,,0.58,{'district': 1.0},[],,
macondo imaginacion,ESP,España,Comunidad de Madrid,MD,,Alcobendas,,,,,0.78,"{'county': 0.37, 'streets': [0.9]}",[],,
macondo la croisete,FRA,Francia,Países del Loira,PDL,,Vaiges,La Croisée,,,,0.53,{'district': 0.99},[],,
macondo polombia,COL,Colombia,,,,Pedraza,Macondo,,,,0.47,{'district': 1.0},[],,
macondo republica del caribe,COL,Colombia,,,,Cartagena,Republica del Caribe,,,,0.72,{'district': 1.0},[],,
macondo uribista,ESP,España,Extremadura,EX,,Cáceres,Macondo,,,,0.47,{'district': 1.0},[],,
macondord,ESP,España,Extremadura,EX,,Cáceres,Macondo,,,,0.78,{'district': 0.95},[],,
macrage,CAN,Canadá,Yukón,YT,,Whitehorse,MacRae,,,,0.86,{'district': 0.99},[],,
macro,NLD,Holanda,Limburgo,LI,,Venray,,,,,0.99,{'streets': [0.9]},[],,
macul alto,CHL,Chile,Región Metropolitana de Santiago,RM,,La Florida,La Florida,,,,1.0,{'streets': [0.9]},[],,
macuro paria,VEN,Venezuela,Sucre,SU,,Valdez,Macuro,,,,0.55,{'district': 1.0},[],,
mad bcn bio par,ESP,España,Comunidad Valenciana,VC,,Valencia,Sant Pau,,,,0.5,{'placeName': 0.86},[],,
mad diego,USA,Estados Unidos,California,CA,,San Diego,,,,,0.62,{'city': 0.62},[],,
mad esplanade,NZL,Nueva Zelanda,Waikato,,,Whitianga,Whitianga,,,,0.75,{'streets': [1.0]},[],,
made interior caracas luchadora,PHL,Filipinas,Bicol Region,,,Naga City,Igualdad Interior,,,,0.36,{'district': 0.62},[],,
made interior paraguay,ARG,Argentina,Ciudad Autónoma de Buenos Aires,CF,,Ciudad de Buenos Aires,Palermo,,,,0.95,"{'streets': [1.0], 'placeName': 0.52}",[],,
madi,MDV,Maldivas,,,,,,,,,0.99,{'country': 0.67},[],,
madison avenue,USA,Estados Unidos,Nueva York,NY,,Nueva York,,,,,1.0,{'streets': [1.0]},[],,
madison square garden,USA,Estados Unidos,Nueva York,NY,,Nueva York,Chelsea,,,,1.0,{'placeName': 1.0},[],,
madnes,USA,Estados Unidos,Missouri,MO,,Mountain Grove,Manes,,,,0.83,{'district': 0.99},[],,
madre agare el camino,USA,Estados Unidos,California,CA,,South San Francisco,El Camino,,,,0.44,{'district': 1.0},[],,
madre alcance legar,ESP,España,Comunidad Valenciana,VC,,Cofrentes,Casas de Alcance,,,,0.5,{'district': 0.61},[],,
madre boto el diablo,ARG,Argentina,Santiago del Estero,SE,,Pellegrini,El Diablo,,,,0.47,{'district': 1.0},[],,
madre buscando,USA,Estados Unidos,California,CA,,San Clemente,,,,,0.73,{'streets': [0.73]},[],,
madre castilo,ESP,España,Castilla y León,CL,,Béjar,,,,,0.92,"{'state': 0.54, 'streets': [0.68]}",[],,
madre concedes pogo,BRA,Brasil,Bahia,BA,,Madre de Deus,,,,,0.44,{'city': 0.68},[],,
madre de eruri,SAU,Arabia Saudita,,,,Riad,,,,,0.33,{'city': 0.57},[],,
madre debes usd,ESP,España,Cataluña,CT,,Viladecans,,,,,0.68,"{'streets': [0.75], 'placeName': 0.66}",[],,
madre dejan bcn,ESP,España,Islas Canarias,CN,,Los Realejos,Madre Juana,,,,0.61,{'district': 0.75},[],,
madre dejan los,ESP,España,Islas Canarias,CN,,Los Realejos,Madre Juana,,,,0.61,{'district': 0.75},[],,
madre encanta el sur,MEX,México,Baja California,BC,,Tecate,Encanto Sur,,,,0.44,{'district': 0.75},[],,
madre encuentre la noche,GTM,Guatemala,,,,Jocotán,Encuentro La Ceiba,,,,0.52,{'district': 0.69},[],,
madre encuentro,MEX,México,Chihuahua,Chih,,Jiménez,Tierra de Encuentro,,,,0.86,{'district': 0.7},[],,
madre hice torta la realidad,MEX,México,Nuevo León,NL,,Monterrey,La Realidad,,,,0.42,{'district': 1.0},[],,
madre hinchan los huevos,ESP,España,Comunidad de Madrid,MD,,Madrid,Palacio,,,,0.64,"{'city': 0.64, 'placeName': 0.56}",[],,
madre jimin,DOM,República Dominicana,,,,Monte Cristi,Madre,,,,0.5,{'district': 1.0},[],,
madre leva el viento,MEX,México,Chihuahua,Chih,,Santa Bárbara,El Viento,,,,0.47,{'district': 1.0},[],,
madre leve el destino,MEX,México,Campeche,Camp,,Candelaria,El Destino,,,,0.5,{'district': 1.0},[],,
madre leven los suenos,ARG,Argentina,Córdoba,CB,,Córdoba,Los Suenos,,,,0.47,{'district': 1.0},[],,
madre mude volvi patria,VEN,Venezuela,Zulia,ZU,,Maracaibo,Padre de la Patria,,,,0.6,{'district': 0.75},[],,
madre naturaleza,MEX,México,Guanajuato,Gto,,León,,,,,1.0,{'streets': [0.9]},[],,
madre perdio,PER,Perú,Madre de Dios,,,Madre de Dios,,,,,0.73,{'city': 0.73},[],,
madre pile el destino,MEX,México,Campeche,Camp,,Candelaria,El Destino,,,,0.5,{'district': 1.0},[],,
madre quieras,ECU,Ecuador,Pastaza,,,Madre Tierra,,,,,0.67,{'city': 0.68},[],,
madre sale de los huevos,PER,Perú,Madre de Dios,,,,,,,,0.35,{'state': 0.63},[],,
madre toque,BRA,Brasil,Río Grande del Norte,RN,,Areia Branca,Areia Branca,,,,0.89,"{'streets': [0.8], 'placeName': 0.5}",[],,
madre ubico el peru,ESP,España,Extremadura,EX,,Cáceres,El Perú,,,,0.69,"{'state': 0.45, 'district': 1.0}",[],,
madre universidad reina twiter,COL,Colombia,,,,Pereira,Universidad,,,,0.59,"{'district': 1.0, 'placeName': 0.42}",[],,
madre vales madre,PRT,Portugal,,,,Mogadouro,Vale da Madre,,,,0.53,{'district': 0.73},[],,
madrid avenue valencia,PHL,Filipinas,Western Visayas,,,Bacolod City,Banago,,,,0.99,"{'streets': [0.92, 0.8]}",[],,
madrid barcelona avenue,USA,Estados Unidos,Arkansas,AR,,Fayetteville,,,,,0.99,"{'streets': [0.94, 0.76]}",[],,
madrid capital de los san,ARG,Argentina,San Luis,SL,,Juan Martín de Pueyrredón,,,,,0.45,"{'state': 0.43, 'city': 0.67}",[],,
madrid caracas,ARG,Argentina,Buenos Aires,BA,,Isidro Casanova,,,,,1.0,"{'streets': [1.0, 1.0]}",[],,
madrid chicago,USA,Estados Unidos,Nebraska,NE,,Elsie,,,,,0.99,"{'streets': [0.9, 0.9]}",[],,
madrid city,PHL,Filipinas,National Capital Region,NCR,,Manila,,,,,0.99,"{'city': 0.33, 'streets': [1.0]}",[],,
madrid el,COL,Colombia,,,,El Carmen de Bolívar,Madrid,,,,0.75,{'district': 1.0},[],,
madrid el resto,ESP,España,Cataluña,CT,,Barcelona,La Maternitat i Sant Ramon,,,,0.92,"{'streets': [0.9], 'placeName': 0.75}",[],,
madrid esplanade eu,BEL,Bélgica,Bruselas,BRU,,Bruselas,Laken,,,,0.88,"{'streets': [1.0, 0.9]}",[],,
madrid frankfurt,USA,Estados Unidos,Texas,TX,,Brownsville,,,,,0.99,"{'streets': [0.9, 0.9]}",[],,
madrid frankfurt paris,USA,Estados Unidos,Texas,TX,,Brownsville,,,,,0.75,"{'streets': [0.9, 0.9]}",[],,
madrid guayaquil,ECU,Ecuador,Chimborazo,,,Riobamba,,,,,1.0,"{'streets': [1.0, 1.0]}",[],,
madrid mataro barcelona,PHL,Filipinas,Calabarzon,,,General Trias,San Francisco,,,,0.71,"{'streets': [1.0, 1.0]}",[],,
madrid olvera,USA,Estados Unidos,California,CA,,Pomona,,,,,0.99,"{'streets': [0.9, 0.9]}",[],,
madrid orense,PHL,Filipinas,Central Luzon,,,San Jose del Monte,Muzon,,,,1.0,"{'streets': [1.0, 1.0]}",[],,
madrid ourense,PHL,Filipinas,Calabarzon,,,Tagaytay City,Kaybagal North,,,,0.99,"{'streets': [0.9, 0.9]}",[],,
