a_proc_loc,a_code,a_country,a_fdiv,a_fdiv_code,a_county,a_city,a_district,p_postal_code,p_lat,p_lng,here_query_score,here_field_score,is_valid,a_lat,a_lng
sativa,CAN,Canadá,Ontario,ON,,Brampton,Castlemore Crossing,,,,0.99,{'streets': [0.9]},[],,
legado destino,BRA,Brasil,Espirito Santo,ES,,Água Doce do Norte,Bom Destino,,,,0.61,{'district': 0.75},[],,
toremol,ITA,Italia,Trentino-Alto Adigio,,,Terre d'Adige,,,,,0.86,{'streets': [0.9]},[],,
lavapies xixon,ESP,España,Andalucía,AN,,Niebla,Lavapiés,,,,0.62,{'district': 1.0},[],,
pantalas,ESP,España,Comunidad Valenciana,VC,,La Pobla de Vallbona,Puebla Real,,,,0.87,{'streets': [0.84]},[],,
juan pablo economia,COL,Colombia,,,,Floridablanca,Juan Pablo I,,,,0.82,"{'country': 0.62, 'district': 0.85}",[],,
fotografiando,ESP,España,Comunidad de Madrid,MD,,Aranjuez,,,,,0.77,{'streets': [0.88]},[],,
spanish caravan,ZWE,Zimbabue,,,,Bulawayo,Caravan Park,,,,0.5,{'district': 0.78},[],,
desampa,SWE,Suecia,Estocolmo,AB,,Kista,Akalla,,,,0.71,{'streets': [0.85]},[],,
puesta de sol ferol galicia,MEX,México,Baja California,BC,,Ensenada,Puesta de Sol,,,,0.48,{'district': 1.0},[],,
chilin like vilain,FRA,Francia,Bretaña,BRE,,,,,,,0.53,{'county': 0.6},[],,
de tabasco,ESP,España,Región de Murcia,MC,,Cartagena,Urbanización La Vaguada,,,,1.0,{'streets': [0.9]},[],,
la ciudad de los gatos,ESP,España,Castilla-La Mancha,CM,,Villanueva de los Infantes,,,,,0.61,"{'county': 0.65, 'streets': [0.88]}",[],,
la verneda,ESP,España,Andalucía,AN,,Peñaflor,La Vereda,,,,0.89,{'district': 0.99},[],,
carl sagan,ESP,España,Principado de Asturias,AS,,Gijón,Porceyo,,,,1.0,{'streets': [0.9]},[],,
hospitalet de,ESP,España,Cataluña,CT,,Cornellà de Llobregat,,,,,1.0,{'streets': [0.9]},[],,
nueva chetoslovaquia,MEX,México,Sonora,Son,,Heroica Nogales,Nuevo Nogales,,,,0.89,{'streets': [0.82]},[],,
la baraca de aguas vivas,ESP,España,Castilla y León,CL,,Salce,Casas de Aguas Vivas,,,,0.65,{'district': 0.71},[],,
vale verga saberlo,PRT,Portugal,,,,Fornos de Algodres,Quintas Vale Verga,,,,0.56,{'district': 0.56},[],,
valdebululos de abajo,MEX,México,Sonora,Son,,Altar,De Abajo,,,,0.37,{'district': 1.0},[],,
mulbery flat,USA,Estados Unidos,Kentucky,KY,,Kuttawa,,,,,0.99,{'streets': [0.82]},[],,
anchuria,ESP,España,Región de Murcia,MC,,Aledo,,,,,0.99,{'streets': [0.84]},[],,
baixa tabarnia,PRT,Portugal,,,,Moita,Baixa da Banheira,,,,0.73,{'district': 0.63},[],,
beautiful,USA,Estados Unidos,Colorado,CO,,Castle Rock,,,,,0.99,{'streets': [0.9]},[],,
popocatepetl,MEX,México,Ciudad de México,CMX,,Cuauhtémoc,,,,,1.0,{'streets': [1.0]},[],,
ezequiel,ESP,España,Andalucía,AN,,Alcaudete,Bobadilla,,,,1.0,{'streets': [0.9]},[],,
cale piruleta,ESP,España,País Vasco,PV,,Bernedo,Oquina,,,,0.99,{'streets': [0.92]},[],,
hampden sydney colege,USA,Estados Unidos,Virginia,VA,,Farmville,,,,,0.97,"{'streets': [0.76], 'placeName': 0.78}",[],,
kaliyuga,USA,Estados Unidos,Vermont,VT,,Hinesburg,,,,,0.99,{'streets': [0.9]},[],,
basalona,USA,Estados Unidos,Florida,FL,,Rockledge,,,,,0.99,{'streets': [0.9]},[],,
las baldosas amarilas,COL,Colombia,,,,Sucre,Las Amarillas,,,,0.53,{'district': 0.78},[],,
zaragoza san pain,MEX,México,México,Edomex,,Atizapán de Zaragoza,San Miguel Xochimanga,,,,0.72,"{'city': 0.44, 'streets': [0.85]}",[],,
satander,ITA,Italia,Véneto,,,Velo Veronese,Stander,,,,0.87,{'district': 0.99},[],,
